219.885, 55.972, 4.985,  4.379 False
219.718, 55.973, 4.996,  4.412 False
219.551, 55.974, 5.005,  4.445 False
219.384, 55.975, 5.012,  4.478 False
219.217, 55.976, 5.018,  4.511 False
219.049, 55.977, 5.023,  4.544 False
218.882, 55.977, 5.027,  4.577 False
218.714, 55.978, 5.027,  4.610 False
218.547, 55.979, 5.011,  4.643 False
218.381, 55.980, 4.995,  4.676 False
218.214, 55.981, 5.002,  4.709 False
218.047, 55.982, 5.009,  4.742 False
217.880, 55.983, 5.015,  4.775 False
217.713, 55.984, 5.019,  4.808 False
217.545, 55.985, 5.019,  4.841 False
217.379, 55.986, 5.002,  4.874 False
217.212, 55.987, 4.986,  4.907 False
217.046, 55.987, 4.996,  4.940 False
216.879, 55.988, 5.005,  4.973 False
216.712, 55.989, 5.012,  5.006 False
216.545, 55.990, 5.018,  5.039 False
216.377, 55.991, 5.023,  5.072 False
216.210, 55.991, 5.026,  5.105 False
216.042, 55.992, 5.024,  5.138 False
215.876, 55.993, 5.003,  5.171 False
215.709, 55.993, 4.986,  5.204 False
215.543, 55.994, 4.996,  5.237 False
215.376, 55.995, 5.004,  5.270 False
215.209, 55.995, 5.012,  5.303 False
215.042, 55.996, 5.018,  5.336 False
214.874, 55.997, 5.022,  5.369 False
214.707, 55.997, 5.026,  5.402 False
214.539, 55.998, 5.029,  5.435 False
214.372, 55.998, 5.025,  5.468 False
214.205, 55.999, 5.001,  5.501 False
214.039, 55.999, 4.987,  5.534 False
213.873, 56.000, 4.996,  5.567 False
213.706, 56.000, 5.003,  5.600 False
213.539, 56.001, 5.010,  5.633 False
213.372, 56.001, 5.016,  5.666 False
213.204, 56.002, 5.020,  5.699 False
213.037, 56.002, 5.023,  5.732 False
212.869, 56.003, 5.024,  5.765 False
212.702, 56.003, 5.016,  5.798 False
212.536, 56.004, 4.988,  5.831 False
212.369, 56.004, 4.991,  5.864 False
212.203, 56.004, 5.000,  5.897 False
212.036, 56.005, 5.007,  5.930 False
211.869, 56.005, 5.013,  5.963 False
211.702, 56.005, 5.018,  5.996 False
211.534, 56.006, 5.022,  6.029 False
211.367, 56.006, 5.025,  6.062 False
211.199, 56.006, 5.026,  6.095 False
211.032, 56.007, 5.019,  6.128 False
210.865, 56.007, 4.993,  6.161 False
210.699, 56.007, 4.995,  6.194 False
210.532, 56.008, 5.002,  6.227 False
210.365, 56.008, 5.008,  6.260 False
210.198, 56.008, 5.013,  6.293 False
210.031, 56.008, 5.017,  6.326 False
209.864, 56.009, 5.021,  6.359 False
209.696, 56.009, 5.023,  6.392 False
209.529, 56.009, 5.021,  6.425 False
209.362, 56.009, 5.006,  6.458 False
209.195, 56.009, 4.990,  6.491 False
209.029, 56.009, 4.998,  6.524 False
208.862, 56.009, 5.005,  6.557 False
208.695, 56.009, 5.010,  6.590 False
208.528, 56.009, 5.015,  6.623 False
208.361, 56.009, 5.019,  6.656 False
208.193, 56.010, 5.021,  6.689 False
208.026, 56.010, 5.022,  6.722 False
207.859, 56.010, 5.009,  6.755 False
207.692, 56.010, 4.993,  6.788 False
207.526, 56.010, 5.000,  6.821 False
207.359, 56.010, 5.006,  6.854 False
207.192, 56.010, 5.011,  6.887 False
207.025, 56.010, 5.015,  6.920 False
206.858, 56.010, 5.019,  6.953 False
206.690, 56.010, 5.021,  6.986 False
206.523, 56.010, 5.023,  7.019 False
206.355, 56.010, 5.018,  7.052 False
206.189, 56.010, 4.999,  7.085 False
